#ZVView-data-copy:  19-Jul-2023 15:47:15
#=======================================
#
#name:   INDEN-Oct2022: U-235(N,G)U-236
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  49105
#data...
#            X            Y
#          MeV        barns
    6.47122e-6      123.538 
    6.47406e-6      115.654 
    6.47691e-6      108.268 
    6.47975e-6      101.367 
     6.4826e-6      94.9333 
    6.48545e-6      88.9481 
    6.48829e-6      83.3905 
    6.49114e-6      78.2383 
    6.49372e-6      73.9019 
    6.49629e-6      69.8618 
    6.49887e-6      66.1006 
    6.50274e-6      60.9442 
    6.50661e-6      56.3202 
    6.51047e-6      52.1749 
    6.51436e-6      48.4396 
    6.51826e-6      45.0816 
    6.52215e-6      42.0675 
    6.52605e-6      39.3579 
    6.52995e-6      36.9175 
    6.53397e-6       34.649 
    6.53824e-6      32.4844 
     6.5425e-6      30.5389 
    6.54677e-6      28.7851 
    6.55104e-6      27.1991 
     6.5553e-6      25.7604 
    6.56094e-6      24.0553 
    6.56658e-6      22.5427 
    6.57222e-6      21.1944 
    6.57786e-6      19.9873 
     6.5835e-6       18.902 
    6.58824e-6      18.0715 
    6.59397e-6      17.1571 
     6.5997e-6      16.3281 
    6.60543e-6      15.5743 
    6.61116e-6       14.887 
    6.61975e-6      13.9651 
    6.62835e-6       13.156 
    6.63766e-6      12.3877 
    6.64732e-6      11.6914 
    6.65699e-6      11.0837 
    6.66666e-6      10.5524 
    6.67633e-6      10.0877 
    6.68277e-6       9.8109 
    6.69335e-6      9.40786 
    6.70392e-6      9.06219 
     6.7145e-6      8.76801 
    6.72508e-6       8.5207 
     6.7356e-6      8.31748 
    6.74613e-6      8.15454 
    6.75666e-6      8.03004 
    6.76719e-6      7.94295 
    6.77772e-6      7.89293 
    6.78624e-6      7.87988 
    6.79761e-6      7.90184 
    6.81014e-6      7.98117 
    6.82267e-6      8.12361 
    6.83103e-6      8.25748 
    6.83938e-6      8.42609 
    6.84774e-6      8.63343 
    6.85609e-6      8.88448 
    6.86512e-6      9.21231 
    6.87376e-6      9.58958 
    6.88067e-6      9.94367 
      6.888e-6      10.3785 
    6.89532e-6      10.8846 
    6.90021e-6      11.2678 
    6.90607e-6      11.7835 
    6.91193e-6      12.3688 
    6.91779e-6      13.0347 
    6.92365e-6      13.7946 
    6.92883e-6      14.5568 
    6.93401e-6      15.4171 
    6.93919e-6      16.3899 
    6.94438e-6      17.4916 
    6.94956e-6      18.7409 
    6.95301e-6      19.6659 
    6.95646e-6      20.6721 
    6.95992e-6      21.7667 
    6.96337e-6      22.9568 
    6.96683e-6      24.2499 
    6.97028e-6      25.6536 
    6.97373e-6      27.1755 
    6.97719e-6      28.8231 
    6.98141e-6      31.0178 
    6.98515e-6      33.1384 
    6.98889e-6      35.4311 
    6.99264e-6      37.9016 
    6.99638e-6      40.5532 
    7.00079e-6       43.915 
    7.00463e-6       47.042 
    7.01039e-6      52.0727 
    7.01595e-6        57.29 
    7.02286e-6      64.1635 
    7.04147e-6      83.5304 
      7.048e-6      89.9655 
     7.0549e-6      96.1485 
    7.05951e-6      99.7673 
    7.06372e-6      102.639 
    7.06943e-6      105.773 
    7.07323e-6       107.32 
    7.07857e-6      108.699 
    7.08365e-6      109.123 
    7.08733e-6      108.879 
    7.09184e-6      107.952 
    7.09635e-6      106.358 
    7.10057e-6      104.294 
    7.10479e-6      101.722 
    7.10902e-6      98.6905 
    7.11496e-6      93.7564 
    7.12014e-6      88.9539 
    7.12897e-6      80.0581 
    7.14432e-6      63.9872 
      7.152e-6      56.3328 
    7.15775e-6      50.9499 
     7.1624e-6      46.8762 
    7.16705e-6      43.0668 
    7.17186e-6      39.4128 
    7.17529e-6      36.9923 
    7.17871e-6      34.7222 
    7.18214e-6      32.5998 
    7.18596e-6      30.4002 
    7.19018e-6      28.1708 
