#ZVView-data-copy:  19-Jul-2023 16:26:13
#=======================================
#
#name:   ENDF/B-VIII.0: U-238(N,EL)U-238-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  53542
#data...
#            X            Y
#          MeV        barns
     2.0941e-5      2055.19 
    2.09593e-5         1626 
    2.09686e-5      1416.14 
    2.09752e-5      1276.98 
    2.09817e-5      1145.98 
    2.09867e-5      1053.62 
     2.0992e-5      959.598 
    2.09961e-5      891.665 
    2.10002e-5      827.593 
    2.10043e-5       767.38 
    2.10084e-5      710.988 
    2.10125e-5      658.347 
    2.10166e-5      609.363 
    2.10207e-5      563.918 
    2.10248e-5      521.874 
    2.10289e-5      483.081 
     2.1033e-5      447.377 
    2.10371e-5      414.591 
    2.10413e-5      384.551 
    2.10454e-5      357.078 
    2.10495e-5      331.998 
    2.10536e-5      309.138 
    2.10576e-5      288.823 
    2.10615e-5       270.76 
    2.10654e-5      254.268 
    2.10693e-5      239.221 
    2.10732e-5      225.495 
    2.10771e-5      212.977 
     2.1081e-5       201.56 
    2.10849e-5      191.142 
    2.10887e-5      181.633 
    2.10926e-5      172.946 
    2.10965e-5      165.002 
    2.11024e-5      154.324 
    2.11082e-5      144.942 
    2.11141e-5      136.667 
    2.11206e-5      128.616 
    2.11257e-5      122.925 
    2.11308e-5      117.768 
    2.11385e-5      110.886 
    2.11462e-5      104.861 
    2.11539e-5       99.543 
    2.11616e-5      94.8099 
    2.11693e-5      90.5658 
    2.11795e-5      85.5371 
    2.11898e-5      81.1016 
    2.12001e-5       77.153 
    2.12103e-5      73.6102 
    2.12206e-5      70.4101 
     2.1236e-5       66.147 
    2.12514e-5       62.417 
    2.12667e-5      59.1244 
    2.12821e-5      56.1962 
    2.12965e-5      53.7412 
     2.1318e-5      50.4804 
    2.13396e-5      47.6397 
    2.13611e-5      45.1438 
    2.13827e-5      42.9342 
    2.14073e-5      40.7012 
    2.14278e-5      39.0413 
    2.14586e-5      36.8369 
    2.14894e-5      34.9176 
    2.15201e-5      33.2325 
    2.15509e-5      31.7419 
    2.15817e-5      30.4147 
    2.16227e-5      28.8566 
    2.16638e-5      27.4984 
    2.17048e-5      26.3047 
    2.17499e-5      25.1486 
    2.17992e-5      24.0425 
    2.18484e-5      23.0704 
    2.18977e-5      22.2092 
     2.1961e-5      21.2368 
    2.20383e-5      20.2152 
    2.21156e-5      19.3401 
    2.21929e-5      18.5824 
    2.22708e-5      17.9154 
    2.23492e-5      17.3238 
    2.24668e-5      16.5577 
    2.25823e-5      15.9186 
    2.26934e-5      15.3868 
    2.28415e-5      14.7779 
    2.30018e-5        14.22 
    2.31677e-5      13.7281 
    2.33927e-5      13.1666 
    2.36177e-5       12.697 
     2.3899e-5      12.2049 
    2.42401e-5      11.7109 
    2.45909e-5      11.2868 
    2.50127e-5      10.8557 
    2.54857e-5      10.4435 
    2.61171e-5      9.96987 
    2.70522e-5      9.36041 
    2.90851e-5      8.13244 
    2.99116e-5       7.5899 
    3.05461e-5      7.12764 
     3.0977e-5      6.78126 
    3.14141e-5      6.39515 
    3.17465e-5      6.07327 
     3.2082e-5      5.71737 
    3.24207e-5      5.32121 
    3.26485e-5      5.03027 
     3.2878e-5       4.7146 
    3.31092e-5       4.3708 
    3.33419e-5      3.99537 
    3.35177e-5      3.69066 
    3.36935e-5      3.36568 
    3.38717e-5      3.01436 
      3.405e-5      2.64051 
    3.42177e-5      2.26824 
    3.43646e-5      1.92754 
    3.45358e-5      1.51628 
    3.47558e-5     0.981259 
    3.48448e-5     0.770398 
    3.49059e-5     0.630899 
    3.49513e-5     0.531393 
    3.49862e-5     0.457962 
    3.50141e-5     0.401574 
    3.50438e-5     0.344341 
    3.50656e-5     0.304265 
    3.50874e-5     0.266099 
    3.51084e-5      0.23145 
    3.51258e-5     0.204211 
    3.51398e-5      0.18358 
    3.51538e-5     0.164053 
    3.51651e-5     0.149051 
    3.51782e-5     0.132761 
    3.51869e-5     0.122538 
    3.51957e-5      0.11285 
    3.52061e-5     0.101959 
    3.52131e-5    0.0951613 
    3.52201e-5    0.0887481 
    3.52288e-5    0.0812907 
    3.52367e-5    0.0751289 
    3.52445e-5    0.0695076 
    3.52511e-5    0.0652495 
    3.52576e-5    0.0613915 
    3.52637e-5    0.0581619 
     3.5269e-5    0.0556867 
    3.52742e-5    0.0534886 
    3.52786e-5    0.0518732 
    3.52838e-5    0.0502002 
    3.52886e-5    0.0489265 
     3.5293e-5    0.0479888 
    3.52986e-5    0.0470905 
    3.53037e-5    0.0466048 
    3.53083e-5    0.0464204 
    3.53135e-5    0.0465192 
    3.53187e-5    0.0469555 
    3.53231e-5    0.0475827 
    3.53276e-5    0.0484795 
    3.53331e-5    0.0499615 
    3.53379e-5    0.0515738 
    3.53432e-5    0.0536935 
    3.53484e-5    0.0561983 
     3.5353e-5     0.058713 
    3.53589e-5    0.0623996 
    3.53632e-5    0.0654666 
    3.53676e-5    0.0688261 
     3.5372e-5    0.0724837 
    3.53772e-5    0.0772747 
    3.53824e-5    0.0825138 
    3.53883e-5    0.0889567 
    3.53942e-5    0.0959956 
    3.54003e-5     0.103942 
    3.54069e-5     0.113207 
    3.54134e-5     0.123272 
    3.54208e-5     0.135676 
    3.54287e-5     0.150002 
    3.54365e-5     0.165599 
    3.54427e-5     0.178639 
    3.54488e-5     0.192496 
    3.54549e-5     0.207196 
     3.5461e-5     0.222761 
     3.5468e-5     0.241641 
    3.54749e-5     0.261721 
    3.54819e-5      0.28304 
    3.54889e-5     0.305639 
    3.54976e-5      0.33575 
    3.55064e-5     0.368012 
    3.55151e-5     0.402512 
    3.55238e-5     0.439343 
    3.55343e-5     0.486755 
    3.55448e-5      0.53784 
    3.55552e-5     0.592784 
    3.55657e-5     0.651783 
    3.55749e-5     0.706899 
     3.5584e-5     0.765424 
    3.55932e-5     0.827513 
    3.56054e-5     0.916121 
    3.56176e-5      1.01176 
    3.56299e-5      1.11486 
     3.5639e-5      1.19736 
    3.56512e-5      1.31465 
    3.56635e-5      1.44076 
    3.56739e-5      1.55629 
    3.56844e-5      1.67909 
    3.56984e-5       1.8548 
    3.57123e-5      2.04516 
    3.57237e-5      2.21137 
    3.57368e-5      2.41689 
    3.57499e-5      2.63816 
     3.5763e-5      2.87633 
     3.5776e-5      3.13263 
    3.57891e-5      3.40842 
    3.58022e-5      3.70517 
    3.58153e-5       4.0245 
    3.58284e-5      4.36813 
    3.58415e-5        4.738 
    3.58546e-5      5.13618 
    3.58677e-5      5.56497 
    3.58808e-5      6.02687 
    3.58939e-5      6.52463 
     3.5907e-5      7.06131 
      3.592e-5      7.64023 
    3.59331e-5      8.26508 
